item,itemLabel,itemDescription,twitterName,twitterID,twitterFollowers,sitelinks
http://www.wikidata.org/entity/Q56173804,Birol Demirhan,Turkish association football player,,,,1
http://www.wikidata.org/entity/Q56173811,Yağız Can Konyalı,Turkish film actor,,,,2
http://www.wikidata.org/entity/Q56173820,Murat Düzgünoğlu,Türk yönetmen ve senarist,,,,1
http://www.wikidata.org/entity/Q56173825,Mehmet Ali Konar,Yönetmen,,,,2
http://www.wikidata.org/entity/Q56173829,Ender Özkahraman,Turkish screenwriter,,,,1
http://www.wikidata.org/entity/Q56173834,Emre Yeksan,,,,,1
http://www.wikidata.org/entity/Q56173837,Kemal Aydoğan,,,,,1
http://www.wikidata.org/entity/Q56173841,Ahmet Güral Karayılmaz,Turkish footballer and football administrator,,,,1
http://www.wikidata.org/entity/Q56173849,Kemal Dinç,Turkish musician,,,,4
http://www.wikidata.org/entity/Q56173859,Feride Acar,Turkish sociologist and women's rights activist,,,,2
http://www.wikidata.org/entity/Q56173867,Doğu Demirkol,Turkish film actor,,,,1
http://www.wikidata.org/entity/Q56173881,Faruk Taşkale,,,,,1
http://www.wikidata.org/entity/Q56173913,Cavit Bircan,,,,,1
http://www.wikidata.org/entity/Q56173928,Kurthan Yılmaz,Turkish association football player,,,,1
http://www.wikidata.org/entity/Q56173976,Ömer Faruk Gergerlioğlu,"Turkish physician, human rights activist and politician",gergerliogluof,219459066,,9
http://www.wikidata.org/entity/Q56173992,Beril Böcekler,Turkish female swimmer,,,,11
http://www.wikidata.org/entity/Q56174007,Gizem Başaran,Turkish basketball player,,,,4
http://www.wikidata.org/entity/Q56174023,Meltem Yıldızhan,Turkish women's basketball player,,,,5
http://www.wikidata.org/entity/Q56175003,Onur Hamzaoğlu,,,,,1
http://www.wikidata.org/entity/Q56175019,Şiir Erkök Yılmaz,Turkish writer,,,,1
http://www.wikidata.org/entity/Q56175090,Halil Yeral,Turkish association football player,,,,5
http://www.wikidata.org/entity/Q56175103,Berat Boz,Turkish association football player,,,,1
http://www.wikidata.org/entity/Q56175146,Celil Yüksel,Turkish association football player (1998-),,,,7
http://www.wikidata.org/entity/Q56175159,Oğuz Gürbulak,Turkish association football player,,,,2
http://www.wikidata.org/entity/Q56217202,Q56217202,,,,,1
http://www.wikidata.org/entity/Q56224087,Birkan Öksüz,Turkish professional footballer,,,,2
http://www.wikidata.org/entity/Q56230291,Emin Barın,Artist,,,,0
http://www.wikidata.org/entity/Q56236343,Georgios Yperidis,Greek writer and poet,,,,1
http://www.wikidata.org/entity/Q56241894,Metropolitan of Symi Chrysostomos Dimitriadis,Greek theologian and hierarch of the Ecumenical Patriarchate of Constantinople,,,,1
http://www.wikidata.org/entity/Q56249610,Gamze Erçel,Turkish actress and model,,,,1
http://www.wikidata.org/entity/Q56252778,Cenk Özcan,Turkish association football manager,,,,1
http://www.wikidata.org/entity/Q56254269,Hakan Demir,association football player,,,,3
http://www.wikidata.org/entity/Q56254727,Hakan Arslan,,,,,0
http://www.wikidata.org/entity/Q56257552,Q56257552,,,,,1
http://www.wikidata.org/entity/Q56312109,Leonardo Bounatian Benatov,Russian painter,,,,2
